pitch_type,zone,stand,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,game_pk,fielder_2,at_bat_number,pitch_number,if_fielding_alignment,of_fielding_alignment,home_score_diff,bat_score_diff,bat_win_exp,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FS,8,L,1,1,,,,0,4,Top,776461,680779,27,3,Strategic,Standard,1,-1,0.371,36,2,1,6
FF,9,L,1,0,,,,0,4,Top,776461,680779,27,2,Strategic,Standard,1,-1,0.371,36,2,1,6
ST,13,L,0,0,,,,0,4,Top,776461,680779,27,1,Standard,Standard,1,-1,0.371,36,2,1,6
SI,4,R,1,0,,687221,660271,2,3,Top,776461,680779,22,2,Standard,Standard,0,0,0.494,33,2,1,6
SL,14,R,0,0,,687221,660271,2,3,Top,776461,680779,22,1,Standard,Standard,0,0,0.494,33,2,1,6
FF,11,L,3,1,,687221,,2,3,Top,776461,680779,21,5,Standard,Standard,0,0,0.483,31,2,1,6
CU,14,L,2,1,,687221,,2,3,Top,776461,680779,21,4,Standard,Standard,0,0,0.483,31,2,1,6
CH,14,L,1,1,,687221,,2,3,Top,776461,680779,21,3,Standard,Standard,0,0,0.483,31,2,1,6
CH,13,L,0,1,,687221,,2,3,Top,776461,680779,21,2,Standard,Standard,0,0,0.483,31,2,1,6
CU,7,L,0,0,,687221,,2,3,Top,776461,680779,21,1,Standard,Standard,0,0,0.483,31,2,1,6
FF,6,L,1,0,,,,2,3,Top,776461,680779,20,2,Standard,Standard,0,0,0.457,24,1,0,6
FF,11,L,0,0,,,,2,3,Top,776461,680779,20,1,Standard,Standard,0,0,0.457,24,1,0,6
SI,5,R,0,0,,,,1,3,Top,776461,680779,19,1,Standard,Standard,0,0,0.475,36,1,0,6
CU,14,L,1,2,,,,0,3,Top,776461,680779,18,4,Standard,Standard,0,0,0.5,26,1,0,6
FF,3,L,1,1,,,,0,3,Top,776461,680779,18,3,Standard,Standard,0,0,0.5,26,1,0,6
FF,12,L,1,0,,,,0,3,Top,776461,680779,18,2,Standard,Standard,0,0,0.5,26,1,0,6
FF,11,L,0,0,,,,0,3,Top,776461,680779,18,1,Standard,Standard,0,0,0.5,26,1,0,6
ST,3,R,2,2,,,,2,2,Top,776461,680779,11,9,Standard,Standard,0,0,0.46,25,1,0,6
CH,11,R,2,2,,,,2,2,Top,776461,680779,11,8,Standard,Standard,0,0,0.46,25,1,0,6
ST,11,R,2,2,,,,2,2,Top,776461,680779,11,7,Standard,Standard,0,0,0.46,25,1,0,6
FF,11,R,2,2,,,,2,2,Top,776461,680779,11,6,Standard,Standard,0,0,0.46,25,1,0,6
ST,1,R,2,2,,,,2,2,Top,776461,680779,11,5,Standard,Standard,0,0,0.46,25,1,0,6
CH,13,R,1,2,,,,2,2,Top,776461,680779,11,4,Standard,Standard,0,0,0.46,25,1,0,6
SL,14,R,0,2,,,,2,2,Top,776461,680779,11,3,Standard,Standard,0,0,0.46,25,1,0,6
FF,6,R,0,1,,,,2,2,Top,776461,680779,11,2,Standard,Standard,0,0,0.46,25,1,0,6
SI,8,R,0,0,,,,2,2,Top,776461,680779,11,1,Standard,Standard,0,0,0.46,25,1,0,6
FF,6,L,1,2,,,,1,2,Top,776461,680779,10,7,Strategic,Standard,0,0,0.477,32,1,0,6
FF,1,L,1,2,,,,1,2,Top,776461,680779,10,6,Strategic,Standard,0,0,0.477,32,1,0,6
